V1	ID1	CHR1	BP1	ID2	CHR2	BP2	beta	se	p	Gene1	Gene2 
40	rs11758609	6	105948645	rs11626056	14	51303026	-0.6441	0.1454	9.43036e-06		
41	rs4458717	6	132950572	rs17837474	7	142056577	-0.8846	0.1792	7.96785e-07		
42	rs4458717	6	132950572	rs16931350	8	65701037	-1.2024	0.2109	1.19041e-08		CYP7B1 
43	rs6922844	6	150360447	rs7022051	9	95042804	1.1557	0.2616	9.92936e-06		
44	rs11761505	7	47069736	rs10876864	12	54687352	0.4749	0.0988	1.51414e-06		
45	rs17837474	7	142056577	rs16931350	8	65701037	-1.5678	0.2736	1.00398e-08		CYP7B1 
46	rs17837474	7	142056577	rs12114111	8	125398550	-0.8455	0.1400	1.52957e-09		TMEM65 
47	rs10755971	8	52577973	rs7923523	10	95192322	0.5616	0.1170	1.58222e-06		
48	rs12541541	8	52579465	rs7923523	10	95192322	0.5391	0.1198	6.81784e-06		
49	rs16931350	8	65701037	rs12114111	8	125398550	-0.6981	0.1577	9.61961e-06	CYP7B1	TMEM65 
50	rs4307325	8	124490578	rs17375044	11	35173476	-1.0275	0.2148	1.72692e-06		
51	rs1887387	9	90069741	rs11225401	11	102113169	-0.4008	0.0829	1.3395e-06		
52	rs11238776	10	42098785	rs11225401	11	102113169	-1.0909	0.2392	5.1104e-06		
53	rs548102	10	105854556	rs8063675	16	68841080	2.4075	0.5193	3.55187e-06		
54	rs5030416	11	36489064	rs4903419	14	76054408	-0.4518	0.0923	9.8978e-07		
55	rs7946005	11	78464992	rs11910489	21	16968775	-0.6999	0.1580	9.42932e-06	TENM4	
56	rs11225401	11	102113169	rs1003761	14	23602251	-0.5900	0.1018	6.88186e-09		CARMIL3 
57	rs11225401	11	102113169	rs486743	18	12495089	0.9056	0.1849	9.71786e-07		SPIRE1 
58	rs380835	12	69136889	rs2149313	14	23313477	-0.7588	0.1707	8.78126e-06		
59	rs7156661	14	70131302	rs4636985	18	12068224	0.5602	0.1262	9.10903e-06		
60	rs4903419	14	76054408	rs11910489	21	16968775	-0.6136	0.1361	6.48894e-06		
61	rs2162549	15	78303041	rs2221434	16	77508627	-0.8880	0.1918	3.67171e-06		
62	rs8063675	16	68841080	rs2824699	21	18483226	2.8982	0.6053	1.68158e-06		
